"","annotated_genes","seqnames","start","end","width","strand","startCpG","endCpG","target","region","lenCpG","bp","tg_mean","bg_mean","delta_means","delta_quants","delta_maxmin","ttest","direction","segment_id","dist_to_TSS","X","baseMean","log2FoldChange","lfcSE","pvalue","padj","SH.SY5Y_C2","SH.SY5Y_C1","SH.SY5Y_J2","SH.SY5Y_J4","SH.SY5Y_C4","SH.SY5Y_J3","SH.SY5Y_J1","SH.SY5Y_C3","type","description"
"2422","DNAJB6","chr7",157474721,157474788,68,"*",12405579,12405584,"R","chr7:157474721-157474788","5CpGs","67bp",0.727,0.375,0.352,0.306,0.298,0.0149,"M","chr7:157474721-157474788",139340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2423","DNAJB6","chr7",157693279,157694027,749,"*",12411772,12411854,"R","chr7:157693279-157694027","82CpGs","748bp",0.935,0.566,0.37,0.336,0.324,0.00751,"M","chr7:157693279-157694027",357898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2425","DNAJC1","chr10",21732359,21732453,95,"*",15293361,15293365,"R","chr10:21732359-21732453","4CpGs","94bp",0.712,0.203,0.51,0.414,0.378,0.0319,"M","chr10:21732359-21732453",271316,"ENSG00000136770",739.812119721131,-0.502661254612548,0.124200625844774,5.76734207557675e-06,4.5921534193317e-05,567.443855519284,736.797069381663,868.728306025209,812.83515532276,534.792791056993,800.443143954778,1042.43917749947,555.017459008893,"protein_coding","DnaJ heat shock protein family (Hsp40) member C1 [Source:HGNC Symbol;Acc:HGNC:20090]"
"2432","DNAJC5B","chr8",65950755,65951458,704,"*",13114645,13114650,"R","chr8:65950755-65951458","5CpGs","703bp",0.1,0.435,0.335,0.293,0.282,0.0135,"U","chr8:65950755-65951458",-70095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2473","DPP4","chr2",161538855,161539379,525,"*",3844102,3844109,"R","chr2:161538855-161539379","7CpGs","524bp",0.0932,0.504,0.411,0.326,0.301,0.0355,"U","chr2:161538855-161539379",535015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2474","DPP4","chr2",161906946,161906973,28,"*",3845922,3845925,"R","chr2:161906946-161906973","3CpGs","27bp",0.817,0.492,0.325,0.256,0.244,0.0385,"M","chr2:161906946-161906973",167421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2475","DPP4","chr2",161699167,161699272,106,"*",3844916,3844923,"R","chr2:161699167-161699272","7CpGs","105bp",0.108,0.422,0.315,0.28,0.275,0.0109,"U","chr2:161699167-161699272",375122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2476","DPP4","chr2",161576347,161576441,95,"*",3844310,3844313,"R","chr2:161576347-161576441","3CpGs","94bp",0.303,0,0.303,0.288,0.273,0.00985,"M","chr2:161576347-161576441",497953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2477","DPP4","chr2",161952882,161953523,642,"*",3846153,3846162,"R","chr2:161952882-161953523","9CpGs","641bp",0.395,0.0947,0.3,0.253,0.225,0.0359,"M","chr2:161952882-161953523",120871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2499","DRD5","chr4",9497780,9497796,17,"*",6425494,6425498,"R","chr4:9497780-9497796","4CpGs","16bp",0.15,0.633,0.483,0.427,0.4,0.0151,"U","chr4:9497780-9497796",-283838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2500","DRD5","chr4",9492641,9492740,100,"*",6425355,6425362,"R","chr4:9492641-9492740","7CpGs","99bp",0.46,0.923,0.463,0.407,0.364,0.0331,"U","chr4:9492641-9492740",-288894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2501","DRD5","chr4",9586292,9586313,22,"*",6426849,6426853,"R","chr4:9586292-9586313","4CpGs","21bp",0.529,0.952,0.423,0.343,0.305,0.0383,"U","chr4:9586292-9586313",-195321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2502","DRD5","chr4",9753010,9753110,101,"*",6429034,6429038,"R","chr4:9753010-9753110","4CpGs","100bp",0,0.335,0.335,0.265,0.261,0.0456,"U","chr4:9753010-9753110",-28524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2503","DRD5","chr4",9821405,9822243,839,"*",6429891,6429897,"R","chr4:9821405-9822243","6CpGs","838bp",0,0.367,0.367,0.321,0.318,0.0175,"U","chr4:9821405-9822243",39771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2504","DRD5","chr4",9758944,9758974,31,"*",6429160,6429164,"R","chr4:9758944-9758974","4CpGs","30bp",0.708,0.367,0.342,0.258,0.233,0.0491,"M","chr4:9758944-9758974",-22660,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2537","DUSP1","chr5",172740983,172741013,31,"*",9170542,9170545,"R","chr5:172740983-172741013","3CpGs","30bp",0.464,0.839,0.375,0.299,0.278,0.0339,"U","chr5:172740983-172741013",30182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2576","ECI2","chr6",4632372,4632706,335,"*",9372716,9372719,"R","chr6:4632372-4632706","3CpGs","334bp",0.0455,0.422,0.377,0.333,0.309,0.0176,"U","chr6:4632372-4632706",-496775,"ENSG00000198721",748.81624870667,0.338104646249768,0.109795659468022,0.000695953695588058,0.00338475329226995,750.669366596939,1050.44907260141,653.395461958412,692.976412080252,815.246760040171,644.994765273705,608.799628639564,773.998522462904,"protein_coding","enoyl-CoA delta isomerase 2 [Source:HGNC Symbol;Acc:HGNC:14601]"
"2658","EIF2AK3","chr2",88764811,88764923,113,"*",3210826,3210833,"R","chr2:88764811-88764923","7CpGs","112bp",0.685,0.226,0.458,0.36,0.314,0.0473,"M","chr2:88764811-88764923",-73335,"ENSG00000172071",1069.73199387142,0.277190026786182,0.0989251612076629,0.0024308809596627,0.0101176471440507,1228.16615304174,1201.00203414689,1075.84233924976,1042.90883488022,1124.08675827266,919.542896775102,783.012897177169,1183.29403742786,"protein_coding","eukaryotic translation initiation factor 2 alpha kinase 3 [Source:HGNC Symbol;Acc:HGNC:3255]"
"2685","EMC2","chr8",108185009,108185502,494,"*",13424840,13424846,"R","chr8:108185009-108185502","6CpGs","493bp",0.45,0.794,0.344,0.295,0.269,0.0252,"U","chr8:108185009-108185502",-258099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2876","FADD","chr11",70077893,70077941,49,"*",17171579,17171584,"R","chr11:70077893-70077941","5CpGs","48bp",0.0714,0.453,0.382,0.338,0.302,0.0338,"U","chr11:70077893-70077941",-125355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2877","FADD","chr11",71183307,71183810,504,"*",17191107,17191114,"R","chr11:71183307-71183810","7CpGs","503bp",0.5,0.828,0.328,0.284,0.281,0.0198,"U","chr11:71183307-71183810",980011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2878","FADD","chr11",70923319,70923800,482,"*",17188313,17188322,"R","chr11:70923319-70923800","9CpGs","481bp",0.95,0.633,0.317,0.26,0.233,0.0342,"M","chr11:70923319-70923800",720023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2879","FADD","chr11",70927335,70927838,504,"*",17188382,17188390,"R","chr11:70927335-70927838","8CpGs","503bp",0.839,0.525,0.314,0.287,0.283,0.00657,"M","chr11:70927335-70927838",724039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2880","FADD","chr11",70939936,70940350,415,"*",17188576,17188582,"R","chr11:70939936-70940350","6CpGs","414bp",0.892,0.588,0.304,0.242,0.214,0.0426,"M","chr11:70939936-70940350",736640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2881","FADD","chr11",71131975,71132107,133,"*",17190159,17190166,"R","chr11:71131975-71132107","7CpGs","132bp",0.896,0.519,0.377,0.348,0.337,0.00562,"M","chr11:71131975-71132107",928679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3031","FASN","chr17",82205449,82205490,42,"*",24089653,24089657,"R","chr17:82205449-82205490","4CpGs","41bp",0.848,0.397,0.451,0.383,0.372,0.0207,"M","chr17:82205449-82205490",-107155,"ENSG00000169710",25527.2150811709,-0.231435726661238,0.0909418556688583,0.00654525082975164,0.0238622245657776,23435.0980956536,23146.3772848784,28908.8452565097,23411.0301599994,21711.9060522119,26752.5886335108,32105.422406748,24746.4527598556,"protein_coding","fatty acid synthase [Source:HGNC Symbol;Acc:HGNC:3594]"
"3118","FBXW7","chr4",151879664,151879885,222,"*",7426125,7426129,"R","chr4:151879664-151879885","4CpGs","221bp",0.0357,0.448,0.412,0.376,0.357,0.00952,"U","chr4:151879664-151879885",656207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3336","FST","chr5",53301231,53301542,312,"*",8232219,8232224,"R","chr5:53301231-53301542","5CpGs","311bp",0.464,0.838,0.373,0.337,0.318,0.0117,"U","chr5:53301231-53301542",-179084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3337","FST","chr5",53248052,53248784,733,"*",8231949,8231955,"R","chr5:53248052-53248784","6CpGs","732bp",0.799,0.22,0.579,0.53,0.491,0.0173,"M","chr5:53248052-53248784",-231842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3338","FST","chr5",53504324,53505081,758,"*",8233560,8233566,"R","chr5:53504324-53505081","6CpGs","757bp",0.0862,0.466,0.379,0.32,0.276,0.0497,"U","chr5:53504324-53505081",23698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3398","FZD10","chr12",129930342,129930364,23,"*",19003524,19003528,"R","chr12:129930342-129930364","4CpGs","22bp",0,0.703,0.703,0.7,0.7,1.75e-05,"U","chr12:129930342-129930364",-232095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3399","FZD8","chr10",36029033,36029681,649,"*",15434245,15434251,"R","chr10:36029033-36029681","6CpGs","648bp",0.573,0.911,0.338,0.29,0.275,0.0175,"U","chr10:36029033-36029681",-386737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3400","FZD8","chr10",36463282,36463946,665,"*",15437430,15437434,"R","chr10:36463282-36463946","4CpGs","664bp",0.69,1,0.31,0.298,0.286,0.00587,"U","chr10:36463282-36463946",-820986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3401","FZD9","chr7",73377673,73377701,29,"*",11609466,11609471,"R","chr7:73377673-73377701","5CpGs","28bp",0.211,0.695,0.484,0.382,0.348,0.0375,"U","chr7:73377673-73377701",-56077,"ENSG00000188763",110.728245185422,-0.483069183349573,0.180240889362028,0.000947946274723496,0.00444408560919137,65.517000930798,114.05527389809,138.076022149702,137.768670393688,94.2416171077078,119.099752820324,138.234441339621,78.8331828434439,"protein_coding","frizzled class receptor 9 [Source:HGNC Symbol;Acc:HGNC:4047]"
"3402","FZD9","chr7",73377557,73377602,46,"*",11609445,11609455,"R","chr7:73377557-73377602","10CpGs","45bp",0.28,0.625,0.345,0.296,0.265,0.033,"U","chr7:73377557-73377602",-56176,"ENSG00000188763",110.728245185422,-0.483069183349573,0.180240889362028,0.000947946274723496,0.00444408560919137,65.517000930798,114.05527389809,138.076022149702,137.768670393688,94.2416171077078,119.099752820324,138.234441339621,78.8331828434439,"protein_coding","frizzled class receptor 9 [Source:HGNC Symbol;Acc:HGNC:4047]"
"3409","G6PD","chrX",154571364,154572253,890,"*",29161372,29161390,"R","chrX:154571364-154572253","18CpGs","889bp",0.149,0.597,0.448,0.373,0.356,0.0236,"U","chrX:154571364-154572253",-23792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3682","GLUL","chr1",182177480,182178458,979,"*",1757522,1757525,"R","chr1:182177480-182178458","3CpGs","978bp",0.56,0.11,0.45,0.389,0.357,0.0221,"M","chr1:182177480-182178458",213748,"ENSG00000135821",7265.22222679433,-0.319277346214561,0.0645573279349547,2.98394246841595e-07,3.03946039526662e-06,6234.10920721186,6847.87864484134,8149.77283116932,7899.65556037408,6223.35305261863,7667.23993156296,8698.35488073355,6401.41370584289,"protein_coding","glutamate-ammonia ligase [Source:HGNC Symbol;Acc:HGNC:4341]"
"3728","GNPAT","chr1",231163554,231163581,28,"*",2186965,2186971,"R","chr1:231163554-231163581","6CpGs","27bp",0.784,0.414,0.37,0.356,0.345,0.00365,"M","chr1:231163554-231163581",-77626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3989","GRIN2A","chr16",9574414,9574468,55,"*",21920352,21920357,"R","chr16:9574414-9574468","5CpGs","54bp",0.911,0.302,0.609,0.549,0.503,0.0215,"M","chr16:9574414-9574468",608460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3990","GRIN2B","chr12",13297734,13298111,378,"*",17927714,17927721,"R","chr12:13297734-13298111","7CpGs","377bp",0.744,0.241,0.503,0.403,0.355,0.0423,"M","chr12:13297734-13298111",683891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3991","GRIN2B","chr12",13217928,13218660,733,"*",17926979,17926986,"R","chr12:13217928-13218660","7CpGs","732bp",0.2,0.549,0.348,0.289,0.25,0.0475,"U","chr12:13217928-13218660",763342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3992","GRIN2B","chr12",13321145,13321267,123,"*",17927852,17927856,"R","chr12:13321145-13321267","4CpGs","122bp",0,0.307,0.307,0.253,0.25,0.0326,"U","chr12:13321145-13321267",660735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3993","GRIN2B","chr12",14200406,14200956,551,"*",17934273,17934277,"R","chr12:14200406-14200956","4CpGs","550bp",0.974,0.478,0.496,0.409,0.392,0.0263,"M","chr12:14200406-14200956",-218404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4006","GRM5","chr11",89134601,89134957,357,"*",17348791,17348795,"R","chr11:89134601-89134957","4CpGs","356bp",0.8,0.174,0.626,0.619,0.618,0.000147,"M","chr11:89134601-89134957",-68619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4040","GSTM4","chr1",109636503,109636528,26,"*",1200875,1200878,"R","chr1:109636503-109636528","3CpGs","25bp",0.1,0.419,0.319,0.307,0.304,0.00118,"U","chr1:109636503-109636528",-19571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4041","GSTO1","chr10",104209450,104210104,655,"*",16078259,16078262,"R","chr10:104209450-104210104","3CpGs","654bp",0.101,0.513,0.412,0.351,0.343,0.0201,"U","chr10:104209450-104210104",-25252,"ENSG00000148834",1163.94562028155,0.579854198742305,0.127453467184144,3.7310776139766e-07,3.73036037491201e-06,1289.24132340096,1838.57101523721,853.93444650917,924.427778341648,1351.17499226714,890.928021097492,975.215579313765,1188.07180608503,"protein_coding","glutathione S-transferase omega 1 [Source:HGNC Symbol;Acc:HGNC:13312]"
"4088","H2AC13","chr6",27531209,27531919,711,"*",9606147,9606152,"R","chr6:27531209-27531919","5CpGs","710bp",0,0.348,0.348,0.334,0.333,0.00189,"U","chr6:27531209-27531919",-276254,"ENSG00000196747",101.325868088111,-2.5443806247179,0.200917525355364,5.5136549217795e-38,7.54128812037743e-36,29.9823563581618,25.0921602575799,155.335524918415,168.0777778803,23.84426456942,193.343754578449,179.894135989918,35.0369701526417,"protein_coding","H2A clustered histone 13 [Source:HGNC Symbol;Acc:HGNC:4725]"
"4112","HAO1","chr20",7081848,7083494,1647,"*",26066142,26066153,"R","chr20:7081848-7083494","11CpGs","1646bp",0.483,0.0417,0.441,0.368,0.333,0.0299,"M","chr20:7081848-7083494",856964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4113","HAO1","chr20",7185703,7186513,811,"*",26066814,26066820,"R","chr20:7185703-7186513","6CpGs","810bp",0.967,0.433,0.534,0.476,0.457,0.0104,"M","chr20:7185703-7186513",753945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4114","HAO1","chr20",7190779,7192369,1591,"*",26066836,26066842,"R","chr20:7190779-7192369","6CpGs","1590bp",0.821,0.33,0.491,0.438,0.425,0.00997,"M","chr20:7190779-7192369",748089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4115","HAO1","chr20",7350290,7351071,782,"*",26067697,26067705,"R","chr20:7350290-7351071","8CpGs","781bp",0.704,0.252,0.453,0.406,0.385,0.011,"M","chr20:7350290-7351071",589387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4116","HAO1","chr20",7100478,7100964,487,"*",26066230,26066236,"R","chr20:7100478-7100964","6CpGs","486bp",0.917,0.207,0.71,0.661,0.619,0.0136,"M","chr20:7100478-7100964",839494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4117","HAO1","chr20",6972191,6973157,967,"*",26065554,26065561,"R","chr20:6972191-6973157","7CpGs","966bp",0.61,0.913,0.304,0.276,0.27,0.00731,"U","chr20:6972191-6973157",967301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4118","HAO1","chr20",7154005,7155949,1945,"*",26066661,26066671,"R","chr20:7154005-7155949","10CpGs","1944bp",0.333,0.848,0.515,0.414,0.363,0.0433,"U","chr20:7154005-7155949",784509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4119","HAO1","chr20",7241919,7243608,1690,"*",26067092,26067097,"R","chr20:7241919-7243608","5CpGs","1689bp",0.175,0.721,0.546,0.506,0.492,0.00485,"U","chr20:7241919-7243608",696850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4120","HAO1","chr20",7293112,7293727,616,"*",26067373,26067378,"R","chr20:7293112-7293727","5CpGs","615bp",0.307,0.633,0.327,0.266,0.236,0.0384,"U","chr20:7293112-7293727",646731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4121","HAO1","chr20",7600074,7601891,1818,"*",26069080,26069089,"R","chr20:7600074-7601891","9CpGs","1817bp",0.312,0.677,0.364,0.297,0.264,0.0379,"U","chr20:7600074-7601891",338567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4122","HAO1","chr20",7673946,7674731,786,"*",26069552,26069555,"R","chr20:7673946-7674731","3CpGs","785bp",0.464,0.775,0.311,0.269,0.25,0.0191,"U","chr20:7673946-7674731",265727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4123","HAO1","chr20",7682994,7683622,629,"*",26069590,26069595,"R","chr20:7682994-7683622","5CpGs","628bp",0.429,1,0.571,0.556,0.542,0.0026,"U","chr20:7682994-7683622",256836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4124","HAO1","chr20",7013414,7014261,848,"*",26065799,26065807,"R","chr20:7013414-7014261","8CpGs","847bp",0.75,0.329,0.421,0.388,0.386,0.00674,"M","chr20:7013414-7014261",926197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4125","HAO1","chr20",7503091,7503634,544,"*",26068521,26068527,"R","chr20:7503091-7503634","6CpGs","543bp",0.826,0.469,0.358,0.304,0.278,0.0251,"M","chr20:7503091-7503634",436824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4126","HAO1","chr20",7724221,7724688,468,"*",26069837,26069842,"R","chr20:7724221-7724688","5CpGs","467bp",0.875,0,0.875,0.812,0.75,0.0198,"M","chr20:7724221-7724688",215770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4127","HAO1","chr20",7732600,7732970,371,"*",26069885,26069892,"R","chr20:7732600-7732970","7CpGs","370bp",0.341,0,0.341,0.337,0.333,0.000452,"M","chr20:7732600-7732970",207488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4128","HAO1","chr20",7743568,7744209,642,"*",26069928,26069935,"R","chr20:7743568-7744209","7CpGs","641bp",0.881,0.254,0.627,0.537,0.476,0.0365,"M","chr20:7743568-7744209",196249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4129","HAO2","chr1",119197926,119198802,877,"*",1286505,1286512,"R","chr1:119197926-119198802","7CpGs","876bp",0.108,0.648,0.539,0.43,0.412,0.0361,"U","chr1:119197926-119198802",-169977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4130","HAO2","chr1",119222575,119223266,692,"*",1286633,1286639,"R","chr1:119222575-119223266","6CpGs","691bp",0.129,0.586,0.457,0.424,0.405,0.00776,"U","chr1:119222575-119223266",-145513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4131","HAO2","chr1",119250850,119251491,642,"*",1286849,1286862,"R","chr1:119250850-119251491","13CpGs","641bp",0.468,0.918,0.45,0.389,0.371,0.0157,"U","chr1:119250850-119251491",-117288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4132","HAO2","chr1",119249317,119249665,349,"*",1286832,1286837,"R","chr1:119249317-119249665","5CpGs","348bp",0.549,0.106,0.443,0.427,0.415,0.00273,"M","chr1:119249317-119249665",-119114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4217","HIF1A","chr14",61470320,61470524,205,"*",20300627,20300635,"R","chr14:61470320-61470524","8CpGs","204bp",0.6,0.257,0.343,0.282,0.279,0.0331,"M","chr14:61470320-61470524",-224989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4241","HMGCLL1","chr6",55719466,55719531,66,"*",9904869,9904876,"R","chr6:55719466-55719531","7CpGs","65bp",0.04,0.564,0.524,0.418,0.394,0.0336,"U","chr6:55719466-55719531",-140269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4242","HMGCLL1","chr6",55778587,55780331,1745,"*",9905209,9905222,"R","chr6:55778587-55780331","13CpGs","1744bp",0.58,0.1,0.48,0.381,0.348,0.0364,"M","chr6:55778587-55780331",-199390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4243","HMGCLL1","chr6",55695550,55696711,1162,"*",9904724,9904732,"R","chr6:55695550-55696711","8CpGs","1161bp",0.263,0.718,0.455,0.371,0.333,0.0348,"U","chr6:55695550-55696711",-116353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4244","HMGCLL1","chr6",55790959,55792256,1298,"*",9905277,9905284,"R","chr6:55790959-55792256","7CpGs","1297bp",0.139,0.77,0.631,0.588,0.572,0.00424,"U","chr6:55790959-55792256",-211762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4245","HMGCLL1","chr6",55801086,55802281,1196,"*",9905352,9905363,"R","chr6:55801086-55802281","11CpGs","1195bp",0.283,0.9,0.616,0.531,0.471,0.036,"U","chr6:55801086-55802281",-221889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4246","HMGCLL1","chr6",55691107,55692482,1376,"*",9904705,9904713,"R","chr6:55691107-55692482","8CpGs","1375bp",0.509,0.197,0.312,0.298,0.287,0.00503,"M","chr6:55691107-55692482",-111910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4247","HMGCS1","chr5",43397076,43397366,291,"*",8134350,8134378,"R","chr5:43397076-43397366","28CpGs","290bp",0.534,0.0652,0.468,0.39,0.37,0.0236,"M","chr5:43397076-43397366",-83564,"ENSG00000112972",2217.41613814485,0.186524346916063,0.06486421677352,0.00293862116040754,0.0119236765917301,2485.20420479874,2384.89577720907,1961.00826695946,2191.89954596358,2365.12395705247,2044.03017340336,2068.78256388405,2238.38461588809,"protein_coding","3-hydroxy-3-methylglutaryl-CoA synthase 1 [Source:HGNC Symbol;Acc:HGNC:5007]"
"4253","HMOX1","chr22",35351402,35351450,49,"*",27552627,27552631,"R","chr22:35351402-35351450","4CpGs","48bp",0.167,0.801,0.634,0.564,0.561,0.0133,"U","chr22:35351402-35351450",-28911,"ENSG00000100292",52.0521787839384,2.07605696173798,0.247273466093816,2.97086483376578e-18,1.14286005920235e-16,83.2843232171161,91.2442191184722,15.6157406002639,23.420673966927,79.4808818980668,16.2408753845897,22.7234698092528,84.4072462768188,"protein_coding","heme oxygenase 1 [Source:HGNC Symbol;Acc:HGNC:5013]"
"4325","HSBP1","chr16",83228680,83228866,187,"*",22711113,22711120,"R","chr16:83228680-83228866","7CpGs","186bp",0.214,0.655,0.44,0.393,0.357,0.026,"U","chr16:83228680-83228866",-490445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4326","HSBP1","chr16",83034908,83034963,56,"*",22709108,22709111,"R","chr16:83034908-83034963","3CpGs","55bp",0.619,0.25,0.369,0.345,0.321,0.0162,"M","chr16:83034908-83034963",-684348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4339","HSPB1","chr7",76225453,76225560,108,"*",11663913,11663919,"R","chr7:76225453-76225560","6CpGs","107bp",0.674,0.221,0.453,0.422,0.398,0.0115,"M","chr7:76225453-76225560",-77113,"ENSG00000106211",5688.67041571921,1.30962614914532,0.153208712620515,1.5501290687444e-19,6.76360846186209e-18,7000.32498080933,10855.7809696202,3533.26678108077,2686.48907267692,8415.8899518353,2914.85044402469,3672.68080792048,6430.08031778596,"protein_coding","heat shock protein family B (small) member 1 [Source:HGNC Symbol;Acc:HGNC:5246]"
"4433","ID1","chr20",31568380,31568439,60,"*",26293412,26293415,"R","chr20:31568380-31568439","3CpGs","59bp",0.402,0.917,0.515,0.422,0.405,0.0277,"U","chr20:31568380-31568439",-36844,"ENSG00000125968",4330.45270007176,-0.392602354950351,0.122062879119703,0.000304322805705327,0.00162563629207542,3310.27423346964,4643.19020039125,5652.89809729554,4465.08260745943,3614.1092440221,4595.39435882057,5279.41948568306,3083.25337343247,"protein_coding","inhibitor of DNA binding 1, HLH protein [Source:HGNC Symbol;Acc:HGNC:5360]"
