"","annotated_genes","seqnames","start","end","width","strand","startCpG","endCpG","target","region","lenCpG","bp","tg_mean","bg_mean","delta_means","delta_quants","delta_maxmin","ttest","direction","dist_to_TSS","X","baseMean","log2FoldChange","lfcSE","pvalue","padj","SH.SY5Y_C2","SH.SY5Y_C1","SH.SY5Y_J2","SH.SY5Y_J4","SH.SY5Y_C4","SH.SY5Y_J3","SH.SY5Y_J1","SH.SY5Y_C3","type","description"
"4307","HS3ST3A1","chr17",13888364,13888690,327,"*",23107816,23107825,"R","chr17:13888364-13888690","9CpGs","326bp",0.11,0.76,0.65,0.509,0.489,0.0419,"U",-286435,"ENSG00000153976",16.10460690721,2.01038364418435,0.543307308837184,2.79193524888107e-06,2.35575198400883e-05,22.2091528578976,46.762662298217,4.93128650534651,8.26612022362129,19.3024998895305,5.41362512819657,2.8404337261566,19.1110746287137,"protein_coding","heparan sulfate-glucosamine 3-sulfotransferase 3A1 [Source:HGNC Symbol;Acc:HGNC:5196]"
"4308","HS3ST3A1","chr17",13909506,13909924,419,"*",23108007,23108015,"R","chr17:13909506-13909924","8CpGs","418bp",0.189,0.767,0.578,0.472,0.456,0.03,"U",-307577,"ENSG00000153976",16.10460690721,2.01038364418435,0.543307308837184,2.79193524888107e-06,2.35575198400883e-05,22.2091528578976,46.762662298217,4.93128650534651,8.26612022362129,19.3024998895305,5.41362512819657,2.8404337261566,19.1110746287137,"protein_coding","heparan sulfate-glucosamine 3-sulfotransferase 3A1 [Source:HGNC Symbol;Acc:HGNC:5196]"
"4309","HS3ST3B1","chr17",14497280,14497704,425,"*",23113969,23113975,"R","chr17:14497280-14497704","6CpGs","424bp",0.05,0.664,0.614,0.569,0.543,0.00769,"U",196199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4310","HS3ST3B1","chr17",14813771,14814032,262,"*",23116692,23116703,"R","chr17:14813771-14814032","11CpGs","261bp",0.0312,0.369,0.338,0.317,0.301,0.00871,"U",512690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4311","HS3ST3B1","chr17",14844447,14844484,38,"*",23117023,23117028,"R","chr17:14844447-14844484","5CpGs","37bp",0.402,0.82,0.418,0.331,0.294,0.0416,"U",543366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4312","HS3ST3B1","chr17",14345226,14345302,77,"*",23112471,23112480,"R","chr17:14345226-14345302","9CpGs","76bp",0.668,0.167,0.5,0.479,0.466,0.00277,"M",44145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4313","HS6ST1","chr2",128825674,128825700,27,"*",3601598,3601601,"R","chr2:128825674-128825700","3CpGs","26bp",0.921,0.445,0.476,0.45,0.438,0.00306,"M",-506806,"ENSG00000136720",2725.11675552898,0.513705104486229,0.10623893409022,1.35889916844118e-07,1.46025507749226e-06,3244.75723253884,3564.22730931532,2315.23901426018,1841.96712316361,2807.9460133417,2150.75592593066,2515.67747013269,3360.36395554882,"protein_coding","heparan sulfate 6-O-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:5201]"
"4314","HS6ST2","chrX",132675770,132676306,537,"*",28960890,28960896,"R","chrX:132675770-132676306","6CpGs","536bp",0.777,0.438,0.339,0.276,0.269,0.0328,"M",285089,"ENSG00000171004",3290.09643078301,0.783062102285062,0.0601664372555628,4.02434253433128e-40,6.5001880500177e-38,4205.30309364291,4168.7202609752,2454.95879857834,2547.34271557929,4159.12100560884,2371.1678061501,2259.09162353655,4155.06614219283,"protein_coding","heparan sulfate 6-O-sulfotransferase 2 [Source:HGNC Symbol;Acc:HGNC:19133]"
"4315","HS6ST2","chrX",132940889,132941402,514,"*",28962845,28962850,"R","chrX:132940889-132941402","5CpGs","513bp",0.407,0.797,0.39,0.322,0.308,0.0259,"U",19993,"ENSG00000171004",3290.09643078301,0.783062102285062,0.0601664372555628,4.02434253433128e-40,6.5001880500177e-38,4205.30309364291,4168.7202609752,2454.95879857834,2547.34271557929,4159.12100560884,2371.1678061501,2259.09162353655,4155.06614219283,"protein_coding","heparan sulfate 6-O-sulfotransferase 2 [Source:HGNC Symbol;Acc:HGNC:19133]"
"4316","HS6ST2","chrX",132995675,132995977,303,"*",28963499,28963507,"R","chrX:132995675-132995977","8CpGs","302bp",0.483,0.152,0.331,0.321,0.313,0.00255,"M",-34280,"ENSG00000171004",3290.09643078301,0.783062102285062,0.0601664372555628,4.02434253433128e-40,6.5001880500177e-38,4205.30309364291,4168.7202609752,2454.95879857834,2547.34271557929,4159.12100560884,2371.1678061501,2259.09162353655,4155.06614219283,"protein_coding","heparan sulfate 6-O-sulfotransferase 2 [Source:HGNC Symbol;Acc:HGNC:19133]"
"4317","HS6ST2","chrX",132513903,132514909,1007,"*",28959848,28959854,"R","chrX:132513903-132514909","6CpGs","1006bp",0.485,0.899,0.414,0.384,0.363,0.0102,"U",446486,"ENSG00000171004",3290.09643078301,0.783062102285062,0.0601664372555628,4.02434253433128e-40,6.5001880500177e-38,4205.30309364291,4168.7202609752,2454.95879857834,2547.34271557929,4159.12100560884,2371.1678061501,2259.09162353655,4155.06614219283,"protein_coding","heparan sulfate 6-O-sulfotransferase 2 [Source:HGNC Symbol;Acc:HGNC:19133]"
"4318","HS6ST2","chrX",132583317,132584785,1469,"*",28960288,28960297,"R","chrX:132583317-132584785","9CpGs","1468bp",0.977,0.502,0.475,0.448,0.436,0.00346,"M",376610,"ENSG00000171004",3290.09643078301,0.783062102285062,0.0601664372555628,4.02434253433128e-40,6.5001880500177e-38,4205.30309364291,4168.7202609752,2454.95879857834,2547.34271557929,4159.12100560884,2371.1678061501,2259.09162353655,4155.06614219283,"protein_coding","heparan sulfate 6-O-sulfotransferase 2 [Source:HGNC Symbol;Acc:HGNC:19133]"
"4319","HS6ST2","chrX",132739191,132740492,1302,"*",28961370,28961387,"R","chrX:132739191-132740492","17CpGs","1301bp",0.198,0.784,0.587,0.513,0.475,0.0193,"U",220903,"ENSG00000171004",3290.09643078301,0.783062102285062,0.0601664372555628,4.02434253433128e-40,6.5001880500177e-38,4205.30309364291,4168.7202609752,2454.95879857834,2547.34271557929,4159.12100560884,2371.1678061501,2259.09162353655,4155.06614219283,"protein_coding","heparan sulfate 6-O-sulfotransferase 2 [Source:HGNC Symbol;Acc:HGNC:19133]"
"4320","HS6ST2","chrX",132533738,132535178,1441,"*",28959964,28959973,"R","chrX:132533738-132535178","9CpGs","1440bp",0.478,0.814,0.336,0.307,0.286,0.0152,"U",426217,"ENSG00000171004",3290.09643078301,0.783062102285062,0.0601664372555628,4.02434253433128e-40,6.5001880500177e-38,4205.30309364291,4168.7202609752,2454.95879857834,2547.34271557929,4159.12100560884,2371.1678061501,2259.09162353655,4155.06614219283,"protein_coding","heparan sulfate 6-O-sulfotransferase 2 [Source:HGNC Symbol;Acc:HGNC:19133]"
"4321","HS6ST2","chrX",132616428,132617193,766,"*",28960510,28960518,"R","chrX:132616428-132617193","8CpGs","765bp",0.506,0.92,0.414,0.326,0.309,0.0387,"U",344202,"ENSG00000171004",3290.09643078301,0.783062102285062,0.0601664372555628,4.02434253433128e-40,6.5001880500177e-38,4205.30309364291,4168.7202609752,2454.95879857834,2547.34271557929,4159.12100560884,2371.1678061501,2259.09162353655,4155.06614219283,"protein_coding","heparan sulfate 6-O-sulfotransferase 2 [Source:HGNC Symbol;Acc:HGNC:19133]"
"4322","HS6ST2","chrX",132753000,132754989,1990,"*",28961491,28961506,"R","chrX:132753000-132754989","15CpGs","1989bp",0.591,0.12,0.471,0.374,0.326,0.0468,"M",206406,"ENSG00000171004",3290.09643078301,0.783062102285062,0.0601664372555628,4.02434253433128e-40,6.5001880500177e-38,4205.30309364291,4168.7202609752,2454.95879857834,2547.34271557929,4159.12100560884,2371.1678061501,2259.09162353655,4155.06614219283,"protein_coding","heparan sulfate 6-O-sulfotransferase 2 [Source:HGNC Symbol;Acc:HGNC:19133]"
"4323","HS6ST2","chrX",132570641,132572261,1621,"*",28960202,28960215,"R","chrX:132570641-132572261","13CpGs","1620bp",0.417,0.0875,0.329,0.283,0.27,0.017,"M",389134,"ENSG00000171004",3290.09643078301,0.783062102285062,0.0601664372555628,4.02434253433128e-40,6.5001880500177e-38,4205.30309364291,4168.7202609752,2454.95879857834,2547.34271557929,4159.12100560884,2371.1678061501,2259.09162353655,4155.06614219283,"protein_coding","heparan sulfate 6-O-sulfotransferase 2 [Source:HGNC Symbol;Acc:HGNC:19133]"
"4324","HS6ST2","chrX",132721954,132723593,1640,"*",28961219,28961239,"R","chrX:132721954-132723593","20CpGs","1639bp",0.578,0.061,0.517,0.454,0.431,0.0135,"M",237802,"ENSG00000171004",3290.09643078301,0.783062102285062,0.0601664372555628,4.02434253433128e-40,6.5001880500177e-38,4205.30309364291,4168.7202609752,2454.95879857834,2547.34271557929,4159.12100560884,2371.1678061501,2259.09162353655,4155.06614219283,"protein_coding","heparan sulfate 6-O-sulfotransferase 2 [Source:HGNC Symbol;Acc:HGNC:19133]"
"4325","HSBP1","chr16",83228680,83228866,187,"*",22711113,22711120,"R","chr16:83228680-83228866","7CpGs","186bp",0.214,0.655,0.44,0.393,0.357,0.026,"U",-490445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4326","HSBP1","chr16",83034908,83034963,56,"*",22709108,22709111,"R","chr16:83034908-83034963","3CpGs","55bp",0.619,0.25,0.369,0.345,0.321,0.0162,"M",-684348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4327","HSBP1L1","chr18",79964368,79964454,87,"*",24871672,24871681,"R","chr18:79964368-79964454","9CpGs","86bp",0.533,0.905,0.372,0.361,0.355,0.00132,"U",-128,"ENSG00000226742",207.091710082775,0.771045825265795,0.138464570648073,8.97902563480262e-10,1.37352683313554e-08,248.742512008453,257.764919009684,161.088692507986,139.146357097625,313.381762912378,160.088628790956,134.447196371412,242.073611963707,"protein_coding","heat shock factor binding protein 1 like 1 [Source:HGNC Symbol;Acc:HGNC:37243]"
"4328","HSD17B10","chrX",53575045,53576573,1529,"*",28355552,28355564,"R","chrX:53575045-53576573","12CpGs","1528bp",0.875,0.503,0.372,0.32,0.306,0.0164,"M",-140675,"ENSG00000072506",3484.07416517869,0.365590422783839,0.128343794616599,0.00121997173333193,0.00553767933763257,3579.0049830502,5171.26611853941,3280.12740713965,2503.25674105331,3840.0620368466,2811.21819157065,3288.27544364729,3399.38239958245,"protein_coding","hydroxysteroid 17-beta dehydrogenase 10 [Source:HGNC Symbol;Acc:HGNC:4800]"
"4329","HSD17B10","chrX",53606720,53607471,752,"*",28355965,28355971,"R","chrX:53606720-53607471","6CpGs","751bp",0.875,0.243,0.632,0.529,0.464,0.041,"M",-172350,"ENSG00000072506",3484.07416517869,0.365590422783839,0.128343794616599,0.00121997173333193,0.00553767933763257,3579.0049830502,5171.26611853941,3280.12740713965,2503.25674105331,3840.0620368466,2811.21819157065,3288.27544364729,3399.38239958245,"protein_coding","hydroxysteroid 17-beta dehydrogenase 10 [Source:HGNC Symbol;Acc:HGNC:4800]"
"4330","HSD17B10","chrX",53643435,53645367,1933,"*",28356227,28356250,"R","chrX:53643435-53645367","23CpGs","1932bp",0.0846,0.517,0.433,0.39,0.347,0.0362,"U",-209065,"ENSG00000072506",3484.07416517869,0.365590422783839,0.128343794616599,0.00121997173333193,0.00553767933763257,3579.0049830502,5171.26611853941,3280.12740713965,2503.25674105331,3840.0620368466,2811.21819157065,3288.27544364729,3399.38239958245,"protein_coding","hydroxysteroid 17-beta dehydrogenase 10 [Source:HGNC Symbol;Acc:HGNC:4800]"
"4331","HSD17B10","chrX",53546791,53548067,1277,"*",28355242,28355261,"R","chrX:53546791-53548067","19CpGs","1276bp",0.496,0.886,0.39,0.347,0.338,0.0109,"U",-112421,"ENSG00000072506",3484.07416517869,0.365590422783839,0.128343794616599,0.00121997173333193,0.00553767933763257,3579.0049830502,5171.26611853941,3280.12740713965,2503.25674105331,3840.0620368466,2811.21819157065,3288.27544364729,3399.38239958245,"protein_coding","hydroxysteroid 17-beta dehydrogenase 10 [Source:HGNC Symbol;Acc:HGNC:4800]"
"4332","HSD17B2","chr16",82098288,82098461,174,"*",22700945,22700948,"R","chr16:82098288-82098461","3CpGs","173bp",0.222,0.583,0.361,0.282,0.278,0.0493,"U",63284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4333","HSD3B7","chr16",30992661,30993078,418,"*",22210597,22210607,"R","chr16:30992661-30993078","10CpGs","417bp",0.653,0.0914,0.561,0.45,0.398,0.0413,"M",7454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4334","HSFX1","chrX",149722479,149723495,1017,"*",29093888,29093905,"R","chrX:149722479-149723495","17CpGs","1016bp",0.601,0.98,0.379,0.356,0.35,0.00332,"U",-50573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4335","HSFX1","chrX",149720246,149721914,1669,"*",29093843,29093879,"R","chrX:149720246-149721914","36CpGs","1668bp",0.0538,0.605,0.551,0.473,0.443,0.0186,"U",-52154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4336","HSFX2","chrX",149601072,149601948,877,"*",29092709,29092742,"R","chrX:149601072-149601948","33CpGs","876bp",0.122,0.787,0.665,0.524,0.459,0.0463,"U",-5758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4337","HSFX2","chrX",149598562,149599811,1250,"*",29092648,29092683,"R","chrX:149598562-149599811","35CpGs","1249bp",0.0977,0.683,0.585,0.517,0.476,0.0205,"U",-3248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4338","HSFX4","chrX",149885875,149886300,426,"*",29095779,29095786,"R","chrX:149885875-149886300","7CpGs","425bp",0.933,0.249,0.685,0.634,0.6,0.01,"M",-43273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4339","HSPB1","chr7",76225453,76225560,108,"*",11663913,11663919,"R","chr7:76225453-76225560","6CpGs","107bp",0.674,0.221,0.453,0.422,0.398,0.0115,"M",-77113,"ENSG00000106211",5688.67041571921,1.30962614914532,0.153208712620515,1.5501290687444e-19,6.76360846186209e-18,7000.32498080933,10855.7809696202,3533.26678108077,2686.48907267692,8415.8899518353,2914.85044402469,3672.68080792048,6430.08031778596,"protein_coding","heat shock protein family B (small) member 1 [Source:HGNC Symbol;Acc:HGNC:5246]"
"4340","HSPB3","chr5",54497439,54498134,696,"*",8241075,8241078,"R","chr5:54497439-54498134","3CpGs","695bp",0.113,0.701,0.588,0.569,0.562,0.000968,"U",41740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4341","HSPB3","chr5",54440404,54440829,426,"*",8240610,8240617,"R","chr5:54440404-54440829","7CpGs","425bp",0.696,0.317,0.38,0.323,0.295,0.0256,"M",-14870,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4342","HSPG2","chr1",21917157,21917262,106,"*",392878,392883,"R","chr1:21917157-21917262","5CpGs","105bp",0.477,0.82,0.342,0.286,0.273,0.0224,"U",20048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4343","HTATSF1","chrX",136499853,136501782,1930,"*",28997092,28997104,"R","chrX:136499853-136501782","12CpGs","1929bp",0.706,0.153,0.553,0.447,0.397,0.0392,"M",2774,"ENSG00000102241",5451.26854035616,0.250388169590455,0.0749548424890421,0.00046882644432071,0.00238821384614301,5577.82874026099,6818.22427362783,4932.93026751495,5074.02013059954,5799.83349621893,4828.18023933302,4946.14192848069,5632.98924681336,"protein_coding","HIV-1 Tat specific factor 1 [Source:HGNC Symbol;Acc:HGNC:5276]"
"4344","HTATSF1","chrX",136496572,136496747,176,"*",28996924,28996932,"R","chrX:136496572-136496747","8CpGs","175bp",0.396,0.835,0.439,0.409,0.389,0.00838,"U",-332,"ENSG00000102241",5451.26854035616,0.250388169590455,0.0749548424890421,0.00046882644432071,0.00238821384614301,5577.82874026099,6818.22427362783,4932.93026751495,5074.02013059954,5799.83349621893,4828.18023933302,4946.14192848069,5632.98924681336,"protein_coding","HIV-1 Tat specific factor 1 [Source:HGNC Symbol;Acc:HGNC:5276]"
"4345","HTATSF1","chrX",136497307,136497530,224,"*",28996999,28997041,"R","chrX:136497307-136497530","42CpGs","223bp",0.828,0,0.828,0.775,0.722,0.016,"M",228,"ENSG00000102241",5451.26854035616,0.250388169590455,0.0749548424890421,0.00046882644432071,0.00238821384614301,5577.82874026099,6818.22427362783,4932.93026751495,5074.02013059954,5799.83349621893,4828.18023933302,4946.14192848069,5632.98924681336,"protein_coding","HIV-1 Tat specific factor 1 [Source:HGNC Symbol;Acc:HGNC:5276]"
"4346","HTR1B","chr6",77210410,77210455,46,"*",10053153,10053158,"R","chr6:77210410-77210455","5CpGs","45bp",0.237,0.556,0.318,0.283,0.248,0.0457,"U",253036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4347","HTR1D","chr1",23217676,23217706,31,"*",412157,412162,"R","chr1:23217676-23217706","5CpGs","30bp",0.335,0.909,0.574,0.463,0.434,0.031,"U",-174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4348","HTR2A","chr13",47221704,47221879,176,"*",19387255,19387260,"R","chr13:47221704-47221879","5CpGs","175bp",0.273,0.701,0.427,0.325,0.3,0.0462,"U",-324628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4349","HTR2A","chr13",47346158,47347730,1573,"*",19387961,19387971,"R","chr13:47346158-47347730","10CpGs","1572bp",0.19,0.875,0.685,0.645,0.632,0.00302,"U",-449082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4350","HTR2A","chr13",47380706,47381495,790,"*",19388136,19388144,"R","chr13:47380706-47381495","8CpGs","789bp",0.393,0.807,0.414,0.34,0.318,0.0269,"U",-483630,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4351","HTR2A","chr13",47538051,47539354,1304,"*",19389002,19389010,"R","chr13:47538051-47539354","8CpGs","1303bp",0.0811,0.565,0.484,0.41,0.367,0.0318,"U",-640975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4352","HTR2A","chr13",47549318,47550173,856,"*",19389066,19389073,"R","chr13:47549318-47550173","7CpGs","855bp",0.105,0.509,0.405,0.32,0.297,0.0363,"U",-652242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4353","HTR2A","chr13",47068853,47069569,717,"*",19386353,19386360,"R","chr13:47068853-47069569","7CpGs","716bp",0.83,0.196,0.633,0.542,0.5,0.0222,"M",-171777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4354","HTR2A","chr13",47078002,47078990,989,"*",19386385,19386390,"R","chr13:47078002-47078990","5CpGs","988bp",0.916,0.523,0.393,0.368,0.364,0.00363,"M",-180926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4355","HTR2A","chr13",47512547,47513383,837,"*",19388873,19388885,"R","chr13:47512547-47513383","12CpGs","836bp",0.812,0.163,0.649,0.579,0.543,0.0143,"M",-615471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4356","HTR2A","chr13",47620239,47620620,382,"*",19389446,19389452,"R","chr13:47620239-47620620","6CpGs","381bp",0.644,0.121,0.522,0.496,0.489,0.00223,"M",-723163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4357","HTR2A","chr13",47768245,47770232,1988,"*",19390335,19390345,"R","chr13:47768245-47770232","10CpGs","1987bp",0.49,0.134,0.356,0.308,0.301,0.0168,"M",-871169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4358","HTR2A","chr13",47822388,47824359,1972,"*",19390658,19390669,"R","chr13:47822388-47824359","11CpGs","1971bp",0.721,0.347,0.374,0.306,0.272,0.0377,"M",-925312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4359","HTR2C","chrX",113664750,113666154,1405,"*",28816188,28816205,"R","chrX:113664750-113666154","17CpGs","1404bp",0.345,0.937,0.592,0.529,0.493,0.0156,"U",-917924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4360","HTR2C","chrX",114346139,114346529,391,"*",28820444,28820450,"R","chrX:114346139-114346529","6CpGs","390bp",0.1,0.616,0.516,0.418,0.365,0.0441,"U",-237549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4361","HTR2C","chrX",113632722,113633164,443,"*",28815993,28815998,"R","chrX:113632722-113633164","5CpGs","442bp",0.487,0.0714,0.415,0.341,0.331,0.0292,"M",-950914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4362","HTR2C","chrX",113702372,113703095,724,"*",28816412,28816422,"R","chrX:113702372-113703095","10CpGs","723bp",0.865,0.369,0.496,0.48,0.466,0.00309,"M",-880983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4363","HTR2C","chrX",113706541,113707754,1214,"*",28816451,28816470,"R","chrX:113706541-113707754","19CpGs","1213bp",0.92,0.584,0.336,0.289,0.274,0.017,"M",-876324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4364","HTR2C","chrX",113931405,113933102,1698,"*",28817934,28817953,"R","chrX:113931405-113933102","19CpGs","1697bp",0.81,0.469,0.341,0.308,0.304,0.00858,"M",-650976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4365","HTR2C","chrX",113753173,113754525,1353,"*",28816810,28816816,"R","chrX:113753173-113754525","6CpGs","1352bp",0.225,0.887,0.662,0.599,0.583,0.00796,"U",-829553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4366","HTR2C","chrX",113825822,113825962,141,"*",28817277,28817283,"R","chrX:113825822-113825962","6CpGs","140bp",0.492,1,0.508,0.471,0.433,0.0211,"U",-758116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4367","HTR2C","chrX",114093976,114095505,1530,"*",28819217,28819226,"R","chrX:114093976-114095505","9CpGs","1529bp",0.218,0.712,0.494,0.438,0.384,0.0441,"U",-488573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4368","HTR2C","chrX",114818244,114820114,1871,"*",28823694,28823698,"R","chrX:114818244-114820114","4CpGs","1870bp",0,0.356,0.356,0.315,0.312,0.0147,"U",234166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4369","HTR2C","chrX",114835493,114836355,863,"*",28823786,28823804,"R","chrX:114835493-114836355","18CpGs","862bp",0.212,0.604,0.392,0.344,0.307,0.0341,"U",251415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4370","HTR2C","chrX",114892998,114894844,1847,"*",28824105,28824122,"R","chrX:114892998-114894844","17CpGs","1846bp",0.215,0.558,0.343,0.271,0.25,0.0367,"U",308920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4371","HTR2C","chrX",114041884,114042562,679,"*",28818734,28818750,"R","chrX:114041884-114042562","16CpGs","678bp",0.963,0.615,0.348,0.28,0.259,0.032,"M",-541516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4372","HTR2C","chrX",114984792,114986500,1709,"*",28824655,28824670,"R","chrX:114984792-114986500","15CpGs","1708bp",0.0833,0.617,0.534,0.414,0.368,0.045,"U",400714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4373","HTR2C","chrX",113638722,113639321,600,"*",28816048,28816056,"R","chrX:113638722-113639321","8CpGs","599bp",0.201,0.667,0.465,0.459,0.452,0.000757,"U",-944757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4374","HTR2C","chrX",114098504,114099258,755,"*",28819243,28819250,"R","chrX:114098504-114099258","7CpGs","754bp",0.346,0.889,0.543,0.41,0.378,0.0481,"U",-484820,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4375","HTR2C","chrX",114384539,114385591,1053,"*",28820634,28820641,"R","chrX:114384539-114385591","7CpGs","1052bp",0.0596,0.742,0.682,0.649,0.644,0.00218,"U",-198487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4376","HTR2C","chrX",114631254,114631492,239,"*",28822540,28822548,"R","chrX:114631254-114631492","8CpGs","238bp",0.343,0.731,0.388,0.298,0.267,0.0457,"U",47176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4377","HTR2C","chrX",114750295,114752002,1708,"*",28823317,28823325,"R","chrX:114750295-114752002","8CpGs","1707bp",0.332,0.84,0.508,0.421,0.384,0.0287,"U",166217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4378","HTR2C","chrX",114754951,114755261,311,"*",28823332,28823342,"R","chrX:114754951-114755261","10CpGs","310bp",0,0.623,0.623,0.597,0.595,0.00193,"U",170873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4379","HTR2C","chrX",114340158,114341409,1252,"*",28820403,28820420,"R","chrX:114340158-114341409","17CpGs","1251bp",0.834,0.134,0.701,0.621,0.598,0.0111,"M",-242669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4380","HTR2C","chrX",113589751,113591477,1727,"*",28815752,28815766,"R","chrX:113589751-113591477","14CpGs","1726bp",0.918,0.585,0.333,0.251,0.228,0.0491,"M",-992601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4381","HTR2C","chrX",113922283,113923766,1484,"*",28817888,28817894,"R","chrX:113922283-113923766","6CpGs","1483bp",0.893,0.343,0.55,0.466,0.433,0.0218,"M",-660312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4382","HTR2C","chrX",114483526,114484353,828,"*",28821303,28821309,"R","chrX:114483526-114484353","6CpGs","827bp",0.756,0.388,0.368,0.354,0.35,0.00141,"M",-99725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4383","HTR2C","chrX",114153684,114155334,1651,"*",28819551,28819561,"R","chrX:114153684-114155334","10CpGs","1650bp",0.806,0.331,0.475,0.427,0.408,0.00996,"M",-428744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
