"","annotated_genes","seqnames","start","end","width","strand","startCpG","endCpG","target","region","lenCpG","bp","tg_mean","bg_mean","delta_means","delta_quants","delta_maxmin","ttest","direction","segment_id","dist_to_TSS","X","baseMean","log2FoldChange","lfcSE","pvalue","padj","RPMI8226_1_3b","JJN3_1_3b","OPM_4_1","MM1R_1_2","OPM_2_1","OPM_3_3","JJN3_4_2b","OPM_4_3","RPMI8226_4_1b","MM1R_3_1","MM1R_2_2","RPMI8226_2_3b","JJN3_2_2b","JJN3_3_3b","RPMI8226_3_2b","MM1R_4_2","type","description"
"37849","KLF5","chr13",73781002,73782679,1678,"*",19561760,19561770,"R","chr13:73781002-73782679","10CpGs","1677bp",0.119,0.879,0.76,0.691,0.631,0.0238,"U","chr13:73781002-73782679",726026,"ENSG00000102554",181.561032276309,-1.36913808340631,0.451936813739841,0.000162068678358472,0.000914183041174029,110.013460971594,63.1810514291365,502.225273178669,113.543314861209,331.911186535986,544.932394844318,117.324793136141,393.543456941012,46.1598324013026,87.7224166348393,117.796618164966,78.8005802886437,121.634870946117,113.822642849518,59.9531257154824,102.411497522002,"protein_coding","Kruppel like factor 5 [Source:HGNC Symbol;Acc:HGNC:6349]"
"37850","KLF5","chr13",73429650,73431535,1886,"*",19558988,19559000,"R","chr13:73429650-73431535","12CpGs","1885bp",0,0.537,0.537,0.477,0.474,0.0136,"U","chr13:73429650-73431535",374674,"ENSG00000102554",181.561032276309,-1.36913808340631,0.451936813739841,0.000162068678358472,0.000914183041174029,110.013460971594,63.1810514291365,502.225273178669,113.543314861209,331.911186535986,544.932394844318,117.324793136141,393.543456941012,46.1598324013026,87.7224166348393,117.796618164966,78.8005802886437,121.634870946117,113.822642849518,59.9531257154824,102.411497522002,"protein_coding","Kruppel like factor 5 [Source:HGNC Symbol;Acc:HGNC:6349]"
"37851","KLF5","chr13",73574815,73574842,28,"*",19560056,19560061,"R","chr13:73574815-73574842","5CpGs","27bp",0.581,1,0.419,0.397,0.375,0.0109,"U","chr13:73574815-73574842",519839,"ENSG00000102554",181.561032276309,-1.36913808340631,0.451936813739841,0.000162068678358472,0.000914183041174029,110.013460971594,63.1810514291365,502.225273178669,113.543314861209,331.911186535986,544.932394844318,117.324793136141,393.543456941012,46.1598324013026,87.7224166348393,117.796618164966,78.8005802886437,121.634870946117,113.822642849518,59.9531257154824,102.411497522002,"protein_coding","Kruppel like factor 5 [Source:HGNC Symbol;Acc:HGNC:6349]"
"37852","KLF5","chr13",73786210,73787818,1609,"*",19561804,19561816,"R","chr13:73786210-73787818","12CpGs","1608bp",0.0357,0.733,0.697,0.636,0.616,0.00675,"U","chr13:73786210-73787818",731234,"ENSG00000102554",181.561032276309,-1.36913808340631,0.451936813739841,0.000162068678358472,0.000914183041174029,110.013460971594,63.1810514291365,502.225273178669,113.543314861209,331.911186535986,544.932394844318,117.324793136141,393.543456941012,46.1598324013026,87.7224166348393,117.796618164966,78.8005802886437,121.634870946117,113.822642849518,59.9531257154824,102.411497522002,"protein_coding","Kruppel like factor 5 [Source:HGNC Symbol;Acc:HGNC:6349]"
"37853","KLF5","chr13",73941604,73943596,1993,"*",19562953,19562963,"R","chr13:73941604-73943596","10CpGs","1992bp",0.156,0.837,0.681,0.525,0.472,0.0444,"U","chr13:73941604-73943596",886628,"ENSG00000102554",181.561032276309,-1.36913808340631,0.451936813739841,0.000162068678358472,0.000914183041174029,110.013460971594,63.1810514291365,502.225273178669,113.543314861209,331.911186535986,544.932394844318,117.324793136141,393.543456941012,46.1598324013026,87.7224166348393,117.796618164966,78.8005802886437,121.634870946117,113.822642849518,59.9531257154824,102.411497522002,"protein_coding","Kruppel like factor 5 [Source:HGNC Symbol;Acc:HGNC:6349]"
"37854","KLF5","chr13",73591706,73591814,109,"*",19560229,19560233,"R","chr13:73591706-73591814","4CpGs","108bp",0.472,0.929,0.456,0.375,0.357,0.0271,"U","chr13:73591706-73591814",536730,"ENSG00000102554",181.561032276309,-1.36913808340631,0.451936813739841,0.000162068678358472,0.000914183041174029,110.013460971594,63.1810514291365,502.225273178669,113.543314861209,331.911186535986,544.932394844318,117.324793136141,393.543456941012,46.1598324013026,87.7224166348393,117.796618164966,78.8005802886437,121.634870946117,113.822642849518,59.9531257154824,102.411497522002,"protein_coding","Kruppel like factor 5 [Source:HGNC Symbol;Acc:HGNC:6349]"
"37855","KLF5","chr13",73902455,73904367,1913,"*",19562672,19562690,"R","chr13:73902455-73904367","18CpGs","1912bp",0.108,0.929,0.82,0.723,0.69,0.0124,"U","chr13:73902455-73904367",847479,"ENSG00000102554",181.561032276309,-1.36913808340631,0.451936813739841,0.000162068678358472,0.000914183041174029,110.013460971594,63.1810514291365,502.225273178669,113.543314861209,331.911186535986,544.932394844318,117.324793136141,393.543456941012,46.1598324013026,87.7224166348393,117.796618164966,78.8005802886437,121.634870946117,113.822642849518,59.9531257154824,102.411497522002,"protein_coding","Kruppel like factor 5 [Source:HGNC Symbol;Acc:HGNC:6349]"
"37856","KLF5","chr13",73688394,73690313,1920,"*",19561036,19561054,"R","chr13:73688394-73690313","18CpGs","1919bp",0.219,0.882,0.663,0.638,0.62,0.00316,"U","chr13:73688394-73690313",633418,"ENSG00000102554",181.561032276309,-1.36913808340631,0.451936813739841,0.000162068678358472,0.000914183041174029,110.013460971594,63.1810514291365,502.225273178669,113.543314861209,331.911186535986,544.932394844318,117.324793136141,393.543456941012,46.1598324013026,87.7224166348393,117.796618164966,78.8005802886437,121.634870946117,113.822642849518,59.9531257154824,102.411497522002,"protein_coding","Kruppel like factor 5 [Source:HGNC Symbol;Acc:HGNC:6349]"
"37857","KLF5","chr13",73684173,73685789,1617,"*",19561003,19561022,"R","chr13:73684173-73685789","19CpGs","1616bp",0.242,0.838,0.596,0.535,0.517,0.00912,"U","chr13:73684173-73685789",629197,"ENSG00000102554",181.561032276309,-1.36913808340631,0.451936813739841,0.000162068678358472,0.000914183041174029,110.013460971594,63.1810514291365,502.225273178669,113.543314861209,331.911186535986,544.932394844318,117.324793136141,393.543456941012,46.1598324013026,87.7224166348393,117.796618164966,78.8005802886437,121.634870946117,113.822642849518,59.9531257154824,102.411497522002,"protein_coding","Kruppel like factor 5 [Source:HGNC Symbol;Acc:HGNC:6349]"
"37858","KLF5","chr13",73858954,73860776,1823,"*",19562384,19562411,"R","chr13:73858954-73860776","27CpGs","1822bp",0.0625,0.821,0.758,0.65,0.615,0.0177,"U","chr13:73858954-73860776",803978,"ENSG00000102554",181.561032276309,-1.36913808340631,0.451936813739841,0.000162068678358472,0.000914183041174029,110.013460971594,63.1810514291365,502.225273178669,113.543314861209,331.911186535986,544.932394844318,117.324793136141,393.543456941012,46.1598324013026,87.7224166348393,117.796618164966,78.8005802886437,121.634870946117,113.822642849518,59.9531257154824,102.411497522002,"protein_coding","Kruppel like factor 5 [Source:HGNC Symbol;Acc:HGNC:6349]"
"37859","KLF5","chr13",73475923,73477923,2001,"*",19559312,19559327,"R","chr13:73475923-73477923","15CpGs","2000bp",0,0.397,0.397,0.337,0.333,0.025,"U","chr13:73475923-73477923",420947,"ENSG00000102554",181.561032276309,-1.36913808340631,0.451936813739841,0.000162068678358472,0.000914183041174029,110.013460971594,63.1810514291365,502.225273178669,113.543314861209,331.911186535986,544.932394844318,117.324793136141,393.543456941012,46.1598324013026,87.7224166348393,117.796618164966,78.8005802886437,121.634870946117,113.822642849518,59.9531257154824,102.411497522002,"protein_coding","Kruppel like factor 5 [Source:HGNC Symbol;Acc:HGNC:6349]"
"37860","KLF5","chr13",74017025,74018964,1940,"*",19563459,19563471,"R","chr13:74017025-74018964","12CpGs","1939bp",0.04,0.847,0.807,0.76,0.738,0.00368,"U","chr13:74017025-74018964",962049,"ENSG00000102554",181.561032276309,-1.36913808340631,0.451936813739841,0.000162068678358472,0.000914183041174029,110.013460971594,63.1810514291365,502.225273178669,113.543314861209,331.911186535986,544.932394844318,117.324793136141,393.543456941012,46.1598324013026,87.7224166348393,117.796618164966,78.8005802886437,121.634870946117,113.822642849518,59.9531257154824,102.411497522002,"protein_coding","Kruppel like factor 5 [Source:HGNC Symbol;Acc:HGNC:6349]"
"37861","KLF5","chr13",73789389,73790696,1308,"*",19561820,19561845,"R","chr13:73789389-73790696","25CpGs","1307bp",0.473,0.957,0.484,0.417,0.39,0.0184,"U","chr13:73789389-73790696",734413,"ENSG00000102554",181.561032276309,-1.36913808340631,0.451936813739841,0.000162068678358472,0.000914183041174029,110.013460971594,63.1810514291365,502.225273178669,113.543314861209,331.911186535986,544.932394844318,117.324793136141,393.543456941012,46.1598324013026,87.7224166348393,117.796618164966,78.8005802886437,121.634870946117,113.822642849518,59.9531257154824,102.411497522002,"protein_coding","Kruppel like factor 5 [Source:HGNC Symbol;Acc:HGNC:6349]"
"37862","KLF5","chr13",73876887,73877899,1013,"*",19562514,19562523,"R","chr13:73876887-73877899","9CpGs","1012bp",0.352,0.985,0.633,0.609,0.599,0.00143,"U","chr13:73876887-73877899",821911,"ENSG00000102554",181.561032276309,-1.36913808340631,0.451936813739841,0.000162068678358472,0.000914183041174029,110.013460971594,63.1810514291365,502.225273178669,113.543314861209,331.911186535986,544.932394844318,117.324793136141,393.543456941012,46.1598324013026,87.7224166348393,117.796618164966,78.8005802886437,121.634870946117,113.822642849518,59.9531257154824,102.411497522002,"protein_coding","Kruppel like factor 5 [Source:HGNC Symbol;Acc:HGNC:6349]"
"37863","KLF5","chr13",73991155,73993104,1950,"*",19563288,19563306,"R","chr13:73991155-73993104","18CpGs","1949bp",0.166,0.862,0.696,0.569,0.525,0.0292,"U","chr13:73991155-73993104",936179,"ENSG00000102554",181.561032276309,-1.36913808340631,0.451936813739841,0.000162068678358472,0.000914183041174029,110.013460971594,63.1810514291365,502.225273178669,113.543314861209,331.911186535986,544.932394844318,117.324793136141,393.543456941012,46.1598324013026,87.7224166348393,117.796618164966,78.8005802886437,121.634870946117,113.822642849518,59.9531257154824,102.411497522002,"protein_coding","Kruppel like factor 5 [Source:HGNC Symbol;Acc:HGNC:6349]"
"37864","KLF5","chr13",73724611,73726133,1523,"*",19561330,19561351,"R","chr13:73724611-73726133","21CpGs","1522bp",0.334,0.946,0.612,0.583,0.567,0.00292,"U","chr13:73724611-73726133",669635,"ENSG00000102554",181.561032276309,-1.36913808340631,0.451936813739841,0.000162068678358472,0.000914183041174029,110.013460971594,63.1810514291365,502.225273178669,113.543314861209,331.911186535986,544.932394844318,117.324793136141,393.543456941012,46.1598324013026,87.7224166348393,117.796618164966,78.8005802886437,121.634870946117,113.822642849518,59.9531257154824,102.411497522002,"protein_coding","Kruppel like factor 5 [Source:HGNC Symbol;Acc:HGNC:6349]"
"37865","KLF5","chr13",73900648,73902179,1532,"*",19562666,19562672,"R","chr13:73900648-73902179","6CpGs","1531bp",0.0333,0.392,0.359,0.335,0.318,0.00896,"U","chr13:73900648-73902179",845672,"ENSG00000102554",181.561032276309,-1.36913808340631,0.451936813739841,0.000162068678358472,0.000914183041174029,110.013460971594,63.1810514291365,502.225273178669,113.543314861209,331.911186535986,544.932394844318,117.324793136141,393.543456941012,46.1598324013026,87.7224166348393,117.796618164966,78.8005802886437,121.634870946117,113.822642849518,59.9531257154824,102.411497522002,"protein_coding","Kruppel like factor 5 [Source:HGNC Symbol;Acc:HGNC:6349]"
"37866","KLF5","chr13",73307457,73308875,1419,"*",19558120,19558128,"R","chr13:73307457-73308875","8CpGs","1418bp",0.0682,0.423,0.354,0.337,0.326,0.00436,"U","chr13:73307457-73308875",252481,"ENSG00000102554",181.561032276309,-1.36913808340631,0.451936813739841,0.000162068678358472,0.000914183041174029,110.013460971594,63.1810514291365,502.225273178669,113.543314861209,331.911186535986,544.932394844318,117.324793136141,393.543456941012,46.1598324013026,87.7224166348393,117.796618164966,78.8005802886437,121.634870946117,113.822642849518,59.9531257154824,102.411497522002,"protein_coding","Kruppel like factor 5 [Source:HGNC Symbol;Acc:HGNC:6349]"
"37867","KLF5","chr13",73995966,73997639,1674,"*",19563315,19563330,"R","chr13:73995966-73997639","15CpGs","1673bp",0.247,0.956,0.708,0.59,0.511,0.047,"U","chr13:73995966-73997639",940990,"ENSG00000102554",181.561032276309,-1.36913808340631,0.451936813739841,0.000162068678358472,0.000914183041174029,110.013460971594,63.1810514291365,502.225273178669,113.543314861209,331.911186535986,544.932394844318,117.324793136141,393.543456941012,46.1598324013026,87.7224166348393,117.796618164966,78.8005802886437,121.634870946117,113.822642849518,59.9531257154824,102.411497522002,"protein_coding","Kruppel like factor 5 [Source:HGNC Symbol;Acc:HGNC:6349]"
"37868","KLF5","chr13",73982442,73984094,1653,"*",19563230,19563241,"R","chr13:73982442-73984094","11CpGs","1652bp",0.0333,0.758,0.725,0.621,0.6,0.0176,"U","chr13:73982442-73984094",927466,"ENSG00000102554",181.561032276309,-1.36913808340631,0.451936813739841,0.000162068678358472,0.000914183041174029,110.013460971594,63.1810514291365,502.225273178669,113.543314861209,331.911186535986,544.932394844318,117.324793136141,393.543456941012,46.1598324013026,87.7224166348393,117.796618164966,78.8005802886437,121.634870946117,113.822642849518,59.9531257154824,102.411497522002,"protein_coding","Kruppel like factor 5 [Source:HGNC Symbol;Acc:HGNC:6349]"
"37869","KLF5","chr13",73791876,73793854,1979,"*",19561847,19561861,"R","chr13:73791876-73793854","14CpGs","1978bp",0.417,0.887,0.471,0.445,0.431,0.00416,"U","chr13:73791876-73793854",736900,"ENSG00000102554",181.561032276309,-1.36913808340631,0.451936813739841,0.000162068678358472,0.000914183041174029,110.013460971594,63.1810514291365,502.225273178669,113.543314861209,331.911186535986,544.932394844318,117.324793136141,393.543456941012,46.1598324013026,87.7224166348393,117.796618164966,78.8005802886437,121.634870946117,113.822642849518,59.9531257154824,102.411497522002,"protein_coding","Kruppel like factor 5 [Source:HGNC Symbol;Acc:HGNC:6349]"
"37870","KLF5","chr13",73807060,73808480,1421,"*",19561949,19561965,"R","chr13:73807060-73808480","16CpGs","1420bp",0.171,0.885,0.714,0.668,0.644,0.0052,"U","chr13:73807060-73808480",752084,"ENSG00000102554",181.561032276309,-1.36913808340631,0.451936813739841,0.000162068678358472,0.000914183041174029,110.013460971594,63.1810514291365,502.225273178669,113.543314861209,331.911186535986,544.932394844318,117.324793136141,393.543456941012,46.1598324013026,87.7224166348393,117.796618164966,78.8005802886437,121.634870946117,113.822642849518,59.9531257154824,102.411497522002,"protein_coding","Kruppel like factor 5 [Source:HGNC Symbol;Acc:HGNC:6349]"
"37871","KLF5","chr13",73103910,73104120,211,"*",19556253,19556263,"R","chr13:73103910-73104120","10CpGs","210bp",0.491,0.842,0.351,0.287,0.262,0.031,"U","chr13:73103910-73104120",48934,"ENSG00000102554",181.561032276309,-1.36913808340631,0.451936813739841,0.000162068678358472,0.000914183041174029,110.013460971594,63.1810514291365,502.225273178669,113.543314861209,331.911186535986,544.932394844318,117.324793136141,393.543456941012,46.1598324013026,87.7224166348393,117.796618164966,78.8005802886437,121.634870946117,113.822642849518,59.9531257154824,102.411497522002,"protein_coding","Kruppel like factor 5 [Source:HGNC Symbol;Acc:HGNC:6349]"
"37872","KLF5","chr13",73721084,73722689,1606,"*",19561303,19561314,"R","chr13:73721084-73722689","11CpGs","1605bp",0.125,0.763,0.638,0.508,0.442,0.0471,"U","chr13:73721084-73722689",666108,"ENSG00000102554",181.561032276309,-1.36913808340631,0.451936813739841,0.000162068678358472,0.000914183041174029,110.013460971594,63.1810514291365,502.225273178669,113.543314861209,331.911186535986,544.932394844318,117.324793136141,393.543456941012,46.1598324013026,87.7224166348393,117.796618164966,78.8005802886437,121.634870946117,113.822642849518,59.9531257154824,102.411497522002,"protein_coding","Kruppel like factor 5 [Source:HGNC Symbol;Acc:HGNC:6349]"
"37873","KLF5","chr13",73968513,73968832,320,"*",19563133,19563140,"R","chr13:73968513-73968832","7CpGs","319bp",0,0.9,0.9,0.805,0.8,0.0121,"U","chr13:73968513-73968832",913537,"ENSG00000102554",181.561032276309,-1.36913808340631,0.451936813739841,0.000162068678358472,0.000914183041174029,110.013460971594,63.1810514291365,502.225273178669,113.543314861209,331.911186535986,544.932394844318,117.324793136141,393.543456941012,46.1598324013026,87.7224166348393,117.796618164966,78.8005802886437,121.634870946117,113.822642849518,59.9531257154824,102.411497522002,"protein_coding","Kruppel like factor 5 [Source:HGNC Symbol;Acc:HGNC:6349]"
"37874","KLF5","chr13",73733625,73735532,1908,"*",19561410,19561425,"R","chr13:73733625-73735532","15CpGs","1907bp",0.13,0.897,0.767,0.723,0.714,0.003,"U","chr13:73733625-73735532",678649,"ENSG00000102554",181.561032276309,-1.36913808340631,0.451936813739841,0.000162068678358472,0.000914183041174029,110.013460971594,63.1810514291365,502.225273178669,113.543314861209,331.911186535986,544.932394844318,117.324793136141,393.543456941012,46.1598324013026,87.7224166348393,117.796618164966,78.8005802886437,121.634870946117,113.822642849518,59.9531257154824,102.411497522002,"protein_coding","Kruppel like factor 5 [Source:HGNC Symbol;Acc:HGNC:6349]"
"37875","KLF5","chr13",73924173,73926153,1981,"*",19562807,19562819,"R","chr13:73924173-73926153","12CpGs","1980bp",0.037,0.771,0.734,0.577,0.551,0.0396,"U","chr13:73924173-73926153",869197,"ENSG00000102554",181.561032276309,-1.36913808340631,0.451936813739841,0.000162068678358472,0.000914183041174029,110.013460971594,63.1810514291365,502.225273178669,113.543314861209,331.911186535986,544.932394844318,117.324793136141,393.543456941012,46.1598324013026,87.7224166348393,117.796618164966,78.8005802886437,121.634870946117,113.822642849518,59.9531257154824,102.411497522002,"protein_coding","Kruppel like factor 5 [Source:HGNC Symbol;Acc:HGNC:6349]"
"37876","KLF5","chr13",73694087,73695851,1765,"*",19561071,19561106,"R","chr13:73694087-73695851","35CpGs","1764bp",0.463,0.885,0.422,0.335,0.312,0.035,"U","chr13:73694087-73695851",639111,"ENSG00000102554",181.561032276309,-1.36913808340631,0.451936813739841,0.000162068678358472,0.000914183041174029,110.013460971594,63.1810514291365,502.225273178669,113.543314861209,331.911186535986,544.932394844318,117.324793136141,393.543456941012,46.1598324013026,87.7224166348393,117.796618164966,78.8005802886437,121.634870946117,113.822642849518,59.9531257154824,102.411497522002,"protein_coding","Kruppel like factor 5 [Source:HGNC Symbol;Acc:HGNC:6349]"
"37877","KLF5","chr13",73926757,73928757,2001,"*",19562822,19562847,"R","chr13:73926757-73928757","25CpGs","2000bp",0.148,0.94,0.792,0.662,0.585,0.0383,"U","chr13:73926757-73928757",871781,"ENSG00000102554",181.561032276309,-1.36913808340631,0.451936813739841,0.000162068678358472,0.000914183041174029,110.013460971594,63.1810514291365,502.225273178669,113.543314861209,331.911186535986,544.932394844318,117.324793136141,393.543456941012,46.1598324013026,87.7224166348393,117.796618164966,78.8005802886437,121.634870946117,113.822642849518,59.9531257154824,102.411497522002,"protein_coding","Kruppel like factor 5 [Source:HGNC Symbol;Acc:HGNC:6349]"
"37878","KLF5","chr13",73951068,73952784,1717,"*",19563014,19563028,"R","chr13:73951068-73952784","14CpGs","1716bp",0.395,0.879,0.484,0.383,0.348,0.0372,"U","chr13:73951068-73952784",896092,"ENSG00000102554",181.561032276309,-1.36913808340631,0.451936813739841,0.000162068678358472,0.000914183041174029,110.013460971594,63.1810514291365,502.225273178669,113.543314861209,331.911186535986,544.932394844318,117.324793136141,393.543456941012,46.1598324013026,87.7224166348393,117.796618164966,78.8005802886437,121.634870946117,113.822642849518,59.9531257154824,102.411497522002,"protein_coding","Kruppel like factor 5 [Source:HGNC Symbol;Acc:HGNC:6349]"
"37879","KLF5","chr13",74050299,74051053,755,"*",19563705,19563709,"R","chr13:74050299-74051053","4CpGs","754bp",0.205,0.875,0.67,0.511,0.464,0.0459,"U","chr13:74050299-74051053",995323,"ENSG00000102554",181.561032276309,-1.36913808340631,0.451936813739841,0.000162068678358472,0.000914183041174029,110.013460971594,63.1810514291365,502.225273178669,113.543314861209,331.911186535986,544.932394844318,117.324793136141,393.543456941012,46.1598324013026,87.7224166348393,117.796618164966,78.8005802886437,121.634870946117,113.822642849518,59.9531257154824,102.411497522002,"protein_coding","Kruppel like factor 5 [Source:HGNC Symbol;Acc:HGNC:6349]"
"37880","KLF5","chr13",73493696,73495471,1776,"*",19559412,19559417,"R","chr13:73493696-73495471","5CpGs","1775bp",0.0312,0.381,0.35,0.289,0.271,0.0255,"U","chr13:73493696-73495471",438720,"ENSG00000102554",181.561032276309,-1.36913808340631,0.451936813739841,0.000162068678358472,0.000914183041174029,110.013460971594,63.1810514291365,502.225273178669,113.543314861209,331.911186535986,544.932394844318,117.324793136141,393.543456941012,46.1598324013026,87.7224166348393,117.796618164966,78.8005802886437,121.634870946117,113.822642849518,59.9531257154824,102.411497522002,"protein_coding","Kruppel like factor 5 [Source:HGNC Symbol;Acc:HGNC:6349]"
"37881","KLF5","chr13",73965011,73966782,1772,"*",19563112,19563124,"R","chr13:73965011-73966782","12CpGs","1771bp",0.224,0.945,0.722,0.696,0.69,0.00113,"U","chr13:73965011-73966782",910035,"ENSG00000102554",181.561032276309,-1.36913808340631,0.451936813739841,0.000162068678358472,0.000914183041174029,110.013460971594,63.1810514291365,502.225273178669,113.543314861209,331.911186535986,544.932394844318,117.324793136141,393.543456941012,46.1598324013026,87.7224166348393,117.796618164966,78.8005802886437,121.634870946117,113.822642849518,59.9531257154824,102.411497522002,"protein_coding","Kruppel like factor 5 [Source:HGNC Symbol;Acc:HGNC:6349]"
"37882","KLF5","chr13",73955916,73957876,1961,"*",19563047,19563055,"R","chr13:73955916-73957876","8CpGs","1960bp",0.0667,0.906,0.839,0.753,0.717,0.0106,"U","chr13:73955916-73957876",900940,"ENSG00000102554",181.561032276309,-1.36913808340631,0.451936813739841,0.000162068678358472,0.000914183041174029,110.013460971594,63.1810514291365,502.225273178669,113.543314861209,331.911186535986,544.932394844318,117.324793136141,393.543456941012,46.1598324013026,87.7224166348393,117.796618164966,78.8005802886437,121.634870946117,113.822642849518,59.9531257154824,102.411497522002,"protein_coding","Kruppel like factor 5 [Source:HGNC Symbol;Acc:HGNC:6349]"
"37883","KLF5","chr13",73979704,73981454,1751,"*",19563214,19563226,"R","chr13:73979704-73981454","12CpGs","1750bp",0.299,0.944,0.646,0.536,0.477,0.0359,"U","chr13:73979704-73981454",924728,"ENSG00000102554",181.561032276309,-1.36913808340631,0.451936813739841,0.000162068678358472,0.000914183041174029,110.013460971594,63.1810514291365,502.225273178669,113.543314861209,331.911186535986,544.932394844318,117.324793136141,393.543456941012,46.1598324013026,87.7224166348393,117.796618164966,78.8005802886437,121.634870946117,113.822642849518,59.9531257154824,102.411497522002,"protein_coding","Kruppel like factor 5 [Source:HGNC Symbol;Acc:HGNC:6349]"
"37884","KLF5","chr13",73962481,73963374,894,"*",19563085,19563094,"R","chr13:73962481-73963374","9CpGs","893bp",0.25,0.804,0.554,0.499,0.456,0.0225,"U","chr13:73962481-73963374",907505,"ENSG00000102554",181.561032276309,-1.36913808340631,0.451936813739841,0.000162068678358472,0.000914183041174029,110.013460971594,63.1810514291365,502.225273178669,113.543314861209,331.911186535986,544.932394844318,117.324793136141,393.543456941012,46.1598324013026,87.7224166348393,117.796618164966,78.8005802886437,121.634870946117,113.822642849518,59.9531257154824,102.411497522002,"protein_coding","Kruppel like factor 5 [Source:HGNC Symbol;Acc:HGNC:6349]"
"37885","KLF5","chr13",74012917,74014758,1842,"*",19563436,19563450,"R","chr13:74012917-74014758","14CpGs","1841bp",0.0625,0.904,0.841,0.719,0.683,0.0181,"U","chr13:74012917-74014758",957941,"ENSG00000102554",181.561032276309,-1.36913808340631,0.451936813739841,0.000162068678358472,0.000914183041174029,110.013460971594,63.1810514291365,502.225273178669,113.543314861209,331.911186535986,544.932394844318,117.324793136141,393.543456941012,46.1598324013026,87.7224166348393,117.796618164966,78.8005802886437,121.634870946117,113.822642849518,59.9531257154824,102.411497522002,"protein_coding","Kruppel like factor 5 [Source:HGNC Symbol;Acc:HGNC:6349]"
"37886","KLF5","chr13",74005684,74007522,1839,"*",19563379,19563406,"R","chr13:74005684-74007522","27CpGs","1838bp",0.243,0.928,0.685,0.576,0.514,0.0339,"U","chr13:74005684-74007522",950708,"ENSG00000102554",181.561032276309,-1.36913808340631,0.451936813739841,0.000162068678358472,0.000914183041174029,110.013460971594,63.1810514291365,502.225273178669,113.543314861209,331.911186535986,544.932394844318,117.324793136141,393.543456941012,46.1598324013026,87.7224166348393,117.796618164966,78.8005802886437,121.634870946117,113.822642849518,59.9531257154824,102.411497522002,"protein_coding","Kruppel like factor 5 [Source:HGNC Symbol;Acc:HGNC:6349]"
"37887","KLF5","chr13",74051647,74053540,1894,"*",19563713,19563728,"R","chr13:74051647-74053540","15CpGs","1893bp",0.264,0.865,0.6,0.499,0.441,0.0383,"U","chr13:74051647-74053540",996671,"ENSG00000102554",181.561032276309,-1.36913808340631,0.451936813739841,0.000162068678358472,0.000914183041174029,110.013460971594,63.1810514291365,502.225273178669,113.543314861209,331.911186535986,544.932394844318,117.324793136141,393.543456941012,46.1598324013026,87.7224166348393,117.796618164966,78.8005802886437,121.634870946117,113.822642849518,59.9531257154824,102.411497522002,"protein_coding","Kruppel like factor 5 [Source:HGNC Symbol;Acc:HGNC:6349]"
"37888","KLF5","chr13",73821025,73822950,1926,"*",19562055,19562068,"R","chr13:73821025-73822950","13CpGs","1925bp",0.319,0.864,0.545,0.499,0.464,0.0163,"U","chr13:73821025-73822950",766049,"ENSG00000102554",181.561032276309,-1.36913808340631,0.451936813739841,0.000162068678358472,0.000914183041174029,110.013460971594,63.1810514291365,502.225273178669,113.543314861209,331.911186535986,544.932394844318,117.324793136141,393.543456941012,46.1598324013026,87.7224166348393,117.796618164966,78.8005802886437,121.634870946117,113.822642849518,59.9531257154824,102.411497522002,"protein_coding","Kruppel like factor 5 [Source:HGNC Symbol;Acc:HGNC:6349]"
"37889","KLF5","chr13",73620568,73621751,1184,"*",19560468,19560478,"R","chr13:73620568-73621751","10CpGs","1183bp",0.332,0.838,0.506,0.439,0.39,0.036,"U","chr13:73620568-73621751",565592,"ENSG00000102554",181.561032276309,-1.36913808340631,0.451936813739841,0.000162068678358472,0.000914183041174029,110.013460971594,63.1810514291365,502.225273178669,113.543314861209,331.911186535986,544.932394844318,117.324793136141,393.543456941012,46.1598324013026,87.7224166348393,117.796618164966,78.8005802886437,121.634870946117,113.822642849518,59.9531257154824,102.411497522002,"protein_coding","Kruppel like factor 5 [Source:HGNC Symbol;Acc:HGNC:6349]"
"37890","KLF5","chr13",73745882,73747773,1892,"*",19561497,19561512,"R","chr13:73745882-73747773","15CpGs","1891bp",0.163,0.944,0.782,0.725,0.717,0.00514,"U","chr13:73745882-73747773",690906,"ENSG00000102554",181.561032276309,-1.36913808340631,0.451936813739841,0.000162068678358472,0.000914183041174029,110.013460971594,63.1810514291365,502.225273178669,113.543314861209,331.911186535986,544.932394844318,117.324793136141,393.543456941012,46.1598324013026,87.7224166348393,117.796618164966,78.8005802886437,121.634870946117,113.822642849518,59.9531257154824,102.411497522002,"protein_coding","Kruppel like factor 5 [Source:HGNC Symbol;Acc:HGNC:6349]"
"38023","KLHL24","chr3",183573481,183574120,640,"*",6068902,6068912,"R","chr3:183573481-183574120","10CpGs","639bp",0.165,0.898,0.733,0.653,0.618,0.0122,"U","chr3:183573481-183574120",-61490,"ENSG00000114796",1881.53707994719,1.0349193293416,0.133559649186881,1.21212567678309e-15,4.26721648906184e-14,2291.81888275789,2546.54737843547,1292.13298439172,1243.15372937785,892.753955193451,1173.33364666698,2876.48027309641,1079.99825397967,1954.40730387115,1474.11800127676,1489.34465484097,2753.5808407905,2446.21240458302,2503.2851238119,2994.73174305629,1092.69410302493,"protein_coding","kelch like family member 24 [Source:HGNC Symbol;Acc:HGNC:25947]"
